SessionNum,ReelIndex,StartTime,EndTime,DwellTime,TimePeriod,AvgScrollSpeed,MaxScrollSpeed,RollingMean,RollingStd,CumulativeReels,ScrollStreak,Liked,Commented,Shared,Saved,LikeLatency,CommentLatency,ShareLatency,SaveLatency,InteractionDwellRatio,ScrollDirection,BackScrollCount,ScrollPauseCount,ScrollPauseDurationMs,SwipeCompletionRatio,HasCaption,CaptionExpanded,HasAudio,IsAd,AdSkipLatencyMs,AppExitAttempts,ReturnLatencyS,NotificationsDismissed,NotificationsActedOn,ProfileVisits,ProfileVisitDurationS,HashtagTaps,AmbientLuxStart,AmbientLuxEnd,LuxDelta,IsScreenInDarkRoom,AccelVariance,MicroMovementRms,PostureShiftCount,IsStationary,DeviceOrientation,BatteryStart,BatteryDeltaPerSession,IsCharging,Headphones,AudioOutputType,PreviousApp,PreviousAppDurationS,PreviousAppCategory,DirectLaunch,TimeSinceLastSessionMin,DayOfWeek,IsHoliday,ScreenOnCount1hr,ScreenOnDuration1hr,NightMode,DND,SessionTriggeredByNotif,DwellTimeZscore,DwellTimePctile,DwellAcceleration,SessionDwellTrend,EarlyVsLateRatio,InteractionRate,InteractionBurstiness,LikeStreakLength,InteractionDropoff,SavedWithoutLike,CommentAbandoned,ScrollIntervalCV,ScrollBurstDuration,InterBurstRestDuration,ScrollRhythmEntropy,UniqueAudioCount,RepeatContentFlag,ContentRepeatRate,CircadianPhase,SleepProxyScore,EstimatedSleepDurationH,ConsistencyScore,IsWeekend,PostSessionRating,IntendedAction,ActualVsIntendedMatch,RegretScore,MoodBefore,MoodAfter,MoodDelta,SleepStart,SleepEnd,PreviousContext,DelayedRegretScore,ComparativeRating,MorningRestScore
1,1,2025-12-21 21:07:02,21:07:04,2.151,Evening,9.459,11.942,2.151,0.0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.641,1,0,1,0,-1,0,0.0,0,0,0,3.77,0,1.69,0.0,-1.69,1,0.1375,0.1512,2,0,1,85.0,0.322,1,1,WIRED,com.example.app,100.65,other,1,92.05,1,0,10,1612,1,0,0,1.049,82.61,0.0,-0.0519,1.432,0.0,0.7809,0,0.0,0,0,0.9213,341,276,1.6553,5,0,0.3854,0.8799,0.0,5.78,0.66,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Work / Study,4,2,0.512
1,2,2025-12-21 21:07:04,21:07:06,1.787,Evening,9.759,10.912,1.969,0.182,2,0,1,0,0,0,0.57,-1.0,-1.0,-1.0,0.5596,1,1,0,0,0.667,1,1,1,0,-1,0,0.0,0,0,0,4.96,0,1.69,11.0,9.31,1,0.1075,0.1045,1,1,1,85.0,0.322,0,0,WIRED,com.example.app,58.53,video,0,92.05,1,0,11,1064,1,0,0,0.377,69.57,-0.364,-0.0519,1.432,0.5,0.6233,1,0.0,0,0,1.5869,203,191,1.7877,2,0,0.4343,0.8799,0.0,5.09,0.618,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,After meal,4,2,0.396
1,3,2025-12-21 21:07:06,21:07:08,2.624,Evening,9.923,10.869,2.187,0.342,3,3,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,396,0.565,1,0,1,1,1894,0,0.0,0,0,0,4.83,0,1.69,0.0,-1.69,1,0.1221,0.0889,1,1,1,85.0,0.322,0,1,SPEAKER,com.example.app,5.0,productivity,1,92.05,1,0,10,2010,1,0,0,1.921,100.0,0.837,-0.0519,1.432,0.0,1.1065,1,0.0,0,0,0.6756,276,98,2.0146,1,0,0.3172,0.8799,0.0,6.55,0.636,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Before sleep,4,2,0.387
1,4,2025-12-21 21:07:08,21:07:10,1.567,Evening,10.318,15.344,2.032,0.4,4,4,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,2,1,843,0.647,0,0,1,1,2811,0,0.0,0,0,0,1.79,0,1.69,10.7,9.01,1,0.0957,0.1212,0,1,1,85.0,0.322,1,0,SPEAKER,com.example.app,81.59,productivity,0,92.05,1,0,7,1274,1,0,0,-0.029,56.52,-1.057,-0.0519,1.432,0.0,0.5292,1,0.0,0,0,0.9909,336,236,1.8237,5,0,0.3421,0.8799,0.0,5.39,0.619,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,After meal,4,2,0.419
1,5,2025-12-21 21:07:10,21:07:11,1.332,Evening,10.192,10.693,1.892,0.454,5,5,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.531,1,0,0,0,-1,0,0.0,0,0,0,6.25,0,1.69,0.0,-1.69,1,0.0528,0.2066,0,1,1,85.0,0.322,1,1,SPEAKER,com.example.app,108.91,productivity,1,92.05,1,0,8,1663,1,0,1,-0.463,26.09,-0.235,-0.0519,1.432,0.0,0.7668,1,0.0,0,0,0.5901,345,135,1.787,2,0,0.5471,0.8799,0.0,5.77,0.632,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Transit,4,2,0.393
1,6,2025-12-21 21:07:11,21:07:13,1.455,Evening,10.357,12.765,1.819,0.446,6,4,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.724,1,0,0,0,-1,0,0.0,2,0,0,3.79,0,1.69,3.82,2.13,1,0.1703,0.0188,0,1,1,85.0,0.322,1,0,SPEAKER,com.example.app,205.91,other,1,92.05,1,0,8,1370,1,0,0,-0.236,43.48,0.123,-0.0519,1.432,0.0,0.7772,1,0.0,0,0,1.471,532,250,1.8119,6,0,0.525,0.8799,0.0,5.32,0.598,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,After meal,4,2,0.288
1,7,2025-12-21 21:07:13,21:07:15,2.183,Evening,9.662,14.321,1.871,0.432,7,5,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,342,0.553,1,0,1,0,-1,0,0.0,0,0,0,2.7,0,1.69,10.21,8.52,1,0.0198,0.1336,2,1,2,85.0,0.322,1,1,SPEAKER,com.example.app,110.78,other,0,92.05,1,0,11,1765,1,0,0,1.108,86.96,0.728,-0.0519,1.432,0.0,0.9194,1,0.0,0,0,0.8203,354,144,1.8052,5,0,0.4106,0.8799,0.0,7.1,0.5,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Transit,4,2,0.423
1,8,2025-12-21 21:07:15,21:07:17,2.077,Evening,10.308,11.033,1.897,0.41,8,8,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,1,1,888,0.444,1,0,0,0,-1,0,0.0,1,0,0,3.06,0,1.69,11.52,9.83,1,0.117,0.1518,1,1,1,85.0,0.322,0,1,BLUETOOTH,com.example.app,121.48,other,1,92.05,1,0,11,694,1,0,0,0.912,78.26,-0.106,-0.0519,1.432,0.0,0.4903,1,0.0,0,0,0.9036,439,133,1.7829,5,0,0.4173,0.8799,0.0,6.97,0.601,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Transit,4,2,0.267
1,9,2025-12-21 21:07:17,21:07:18,1.388,Evening,9.614,13.13,1.84,0.418,9,9,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.421,1,0,1,0,-1,0,0.0,1,0,0,6.64,0,1.69,0.0,-1.69,1,0.1541,0.1082,1,1,1,85.0,0.322,1,1,SPEAKER,com.example.app,96.21,other,1,92.05,1,0,10,1382,1,0,0,-0.359,34.78,-0.689,-0.0519,1.432,0.0,0.6525,1,0.0,0,0,0.276,261,120,1.724,6,0,0.3101,0.8799,0.0,5.97,0.541,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,After meal,4,2,0.421
1,10,2025-12-21 21:07:18,21:07:20,1.893,Evening,10.237,12.961,1.846,0.397,10,8,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,562,0.526,1,0,1,0,-1,0,0.0,1,0,0,3.38,0,1.69,0.0,-1.69,1,0.098,0.0418,1,1,1,85.0,0.322,1,0,BLUETOOTH,com.example.app,254.43,productivity,1,92.05,1,0,10,845,1,0,0,0.573,73.91,0.505,-0.0519,1.432,0.0,0.8857,1,0.0,0,1,1.5647,400,210,1.6766,5,0,0.3092,0.8799,0.0,4.73,0.75,1,2,Bored / Nothing to do,2,4,7,3,1,23,7,Before sleep,4,2,0.364
