SessionNum,ReelIndex,StartTime,EndTime,DwellTime,TimePeriod,AvgScrollSpeed,MaxScrollSpeed,RollingMean,RollingStd,CumulativeReels,ScrollStreak,Liked,Commented,Shared,Saved,LikeLatency,CommentLatency,ShareLatency,SaveLatency,InteractionDwellRatio,ScrollDirection,BackScrollCount,ScrollPauseCount,ScrollPauseDurationMs,SwipeCompletionRatio,HasCaption,CaptionExpanded,HasAudio,IsAd,AdSkipLatencyMs,AppExitAttempts,ReturnLatencyS,NotificationsDismissed,NotificationsActedOn,ProfileVisits,ProfileVisitDurationS,HashtagTaps,AmbientLuxStart,AmbientLuxEnd,LuxDelta,IsScreenInDarkRoom,AccelVariance,MicroMovementRms,PostureShiftCount,IsStationary,DeviceOrientation,BatteryStart,BatteryDeltaPerSession,IsCharging,Headphones,AudioOutputType,PreviousApp,PreviousAppDurationS,PreviousAppCategory,DirectLaunch,TimeSinceLastSessionMin,DayOfWeek,IsHoliday,ScreenOnCount1hr,ScreenOnDuration1hr,NightMode,DND,SessionTriggeredByNotif,DwellTimeZscore,DwellTimePctile,DwellAcceleration,SessionDwellTrend,EarlyVsLateRatio,InteractionRate,InteractionBurstiness,LikeStreakLength,InteractionDropoff,SavedWithoutLike,CommentAbandoned,ScrollIntervalCV,ScrollBurstDuration,InterBurstRestDuration,ScrollRhythmEntropy,UniqueAudioCount,RepeatContentFlag,ContentRepeatRate,CircadianPhase,SleepProxyScore,EstimatedSleepDurationH,ConsistencyScore,IsWeekend,PostSessionRating,IntendedAction,ActualVsIntendedMatch,RegretScore,MoodBefore,MoodAfter,MoodDelta,SleepStart,SleepEnd,PreviousContext,DelayedRegretScore,ComparativeRating,MorningRestScore
1,1,2025-11-19 22:07:02,22:07:05,2.394,Night,8.955,11.306,2.394,0.0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.677,1,0,1,0,-1,0,0.0,0,0,0,3.77,0,0.0,0.0,0.0,1,0.1311,0.1448,2,0,1,85.0,0.301,1,1,WIRED,com.example.app,100.65,other,1,199.24,4,0,9,1540,1,0,0,1.277,90.91,0.0,-0.0434,1.46,0.0,0.6952,0,-0.0455,0,0,1.157,498,93,2.0594,1,0,0.4091,0.9215,0.0,6.35,0.699,0,2,Quick break (intentional),0,3,7,3,1,23,7,Before sleep,4,2,0.372
1,2,2025-11-19 22:07:05,22:07:07,1.977,Night,9.91,11.08,2.186,0.209,2,0,1,0,0,0,0.63,-1.0,-1.0,-1.0,0.5059,1,0,0,0,0.703,1,1,1,0,-1,0,0.0,0,0,0,4.96,0,0.0,9.32,9.32,1,0.1011,0.0981,1,1,1,85.0,0.301,0,0,WIRED,com.example.app,58.53,video,0,199.24,4,0,10,992,1,1,1,0.416,59.09,-0.417,-0.0434,1.46,0.5,0.728,1,-0.0455,0,0,0.5035,398,181,1.8719,1,0,0.3261,0.9215,0.0,5.99,0.616,0,2,Quick break (intentional),0,3,7,3,1,23,7,Boredom,4,2,0.665
1,3,2025-11-19 22:07:07,22:07:09,2.033,Night,9.015,9.875,2.135,0.185,3,3,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.601,1,0,1,0,-1,1,4.78,0,0,0,4.83,0,0.0,0.0,0.0,1,0.1157,0.0825,1,1,1,85.0,0.301,0,1,SPEAKER,com.example.app,5.0,productivity,1,199.24,4,0,9,1938,1,0,1,0.532,68.18,0.056,-0.0434,1.46,0.0,0.688,1,-0.0455,0,0,0.8465,287,332,1.8446,5,0,0.5014,0.9215,0.0,6.15,0.595,0,2,Quick break (intentional),0,3,7,3,1,23,7,Transit,4,2,0.327
1,4,2025-11-19 22:07:09,22:07:11,2.298,Night,9.346,13.899,2.176,0.175,4,4,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,1,1,843,0.683,0,0,1,0,-1,0,0.0,1,0,0,1.79,0,0.0,9.01,9.01,1,0.0893,0.1148,0,1,1,85.0,0.301,1,0,SPEAKER,com.example.app,81.59,productivity,0,199.24,4,0,6,1202,1,0,0,1.079,86.36,0.265,-0.0434,1.46,0.0,0.8205,1,-0.0455,0,0,1.5006,310,136,2.0635,4,0,0.3711,0.9215,0.0,5.07,0.587,0,2,Quick break (intentional),0,3,7,3,1,23,7,Boredom,4,2,0.461
1,5,2025-11-19 22:07:11,22:07:13,2.133,Night,9.078,9.524,2.167,0.158,5,5,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,1,0,0,0.567,1,0,0,0,-1,0,0.0,0,0,0,6.25,0,0.0,0.0,0.0,1,0.0464,0.2002,0,1,1,85.0,0.301,1,1,SPEAKER,com.example.app,108.91,productivity,1,199.24,4,0,8,1591,1,1,0,0.738,77.27,-0.165,-0.0434,1.46,0.0,0.7793,1,-0.0455,0,0,1.1736,331,180,1.8765,4,0,0.4083,0.9215,0.0,6.11,0.62,0,2,Quick break (intentional),0,3,7,3,1,23,7,Before sleep,4,2,0.317
1,6,2025-11-19 22:07:13,22:07:15,2.152,Night,9.618,13.133,2.164,0.144,6,4,1,0,0,0,1.91,-1.0,-1.0,-1.0,0.4647,1,0,1,705,0.466,1,0,1,0,-1,0,0.0,1,0,0,6.94,0,0.0,0.0,0.0,1,0.1121,0.1269,0,1,1,85.0,0.301,1,0,SPEAKER,com.example.app,62.0,other,0,199.24,4,0,8,1774,1,0,0,0.778,81.82,0.019,-0.0434,1.46,0.1667,1.1072,1,-0.0455,0,0,2.0656,398,228,1.9076,3,0,0.5084,0.9215,0.0,4.58,0.707,0,2,Quick break (intentional),0,3,7,3,1,23,7,Transit,4,2,0.396
1,7,2025-11-19 22:07:15,22:07:18,2.493,Night,10.088,12.533,2.211,0.176,7,7,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,1,2,664,0.573,1,0,1,0,-1,1,4.18,1,0,0,5.18,0,0.0,20.66,20.66,1,0.1198,0.1489,2,0,1,85.0,0.301,1,0,SPEAKER,com.example.app,74.32,other,0,199.24,4,0,6,1275,1,0,0,1.481,100.0,0.341,-0.0434,1.46,0.0,0.6072,1,-0.0455,0,0,1.6608,357,268,2.046,5,1,0.6689,0.9215,0.0,5.56,0.373,0,2,Quick break (intentional),0,3,7,3,1,23,7,After meal,4,2,0.356
1,8,2025-11-19 22:07:18,22:07:20,1.971,Night,10.414,11.306,2.181,0.183,8,6,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.646,1,0,1,0,-1,0,0.0,0,0,0,5.06,0,0.0,0.0,0.0,1,0.1129,0.1479,2,1,1,85.0,0.301,0,0,SPEAKER,com.example.app,5.0,other,0,199.24,4,0,8,1388,1,0,0,0.404,54.55,-0.522,-0.0434,1.46,0.0,0.7955,1,-0.0455,0,0,1.2367,485,169,1.8427,2,0,0.283,0.9215,0.0,5.4,0.71,0,2,Quick break (intentional),0,3,7,3,1,23,7,After meal,4,2,0.683
1,9,2025-11-19 22:07:20,22:07:21,1.256,Night,10.002,12.459,2.079,0.338,9,9,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,1,0,0,0.621,0,0,1,0,-1,1,6.67,0,0,0,3.74,0,0.0,27.31,27.31,1,0.1881,0.1178,0,1,1,85.0,0.301,0,0,SPEAKER,com.example.app,26.66,other,0,199.24,4,0,6,1159,1,1,0,-1.072,18.18,-0.715,-0.0434,1.46,0.0,1.0893,1,-0.0455,0,0,1.4373,318,139,1.9654,4,0,0.5173,0.9215,0.0,4.62,0.614,0,2,Quick break (intentional),0,3,7,3,1,23,7,After meal,4,2,0.458
1,10,2025-11-19 22:07:21,22:07:23,2.479,Night,9.897,12.405,2.119,0.342,10,10,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,0,0,0.749,1,0,1,0,-1,0,0.0,1,0,0,6.73,0,0.0,0.0,0.0,1,0.0449,0.0,3,1,1,85.0,0.301,1,0,SPEAKER,com.example.app,140.36,social,1,199.24,4,0,7,1633,1,0,0,1.453,95.45,1.223,-0.0434,1.46,0.0,0.5909,1,-0.0455,0,0,1.1947,490,126,2.1178,3,0,0.5774,0.9215,0.0,5.4,0.501,0,2,Quick break (intentional),0,3,7,3,1,23,7,Boredom,4,2,0.358
1,11,2025-11-19 22:07:23,22:07:25,1.994,Night,9.115,11.127,2.107,0.328,11,11,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,544,0.624,1,0,1,0,-1,0,0.0,0,0,0,3.83,0,0.0,0.0,0.0,1,0.0637,0.0653,1,1,1,85.0,0.301,0,0,SPEAKER,com.example.app,148.01,other,1,199.24,4,0,7,1511,1,1,0,0.452,63.64,-0.485,-0.0434,1.46,0.0,0.7958,1,-0.0455,0,0,0.8759,374,45,2.1035,5,0,0.4332,0.9215,0.0,3.35,0.475,0,2,Quick break (intentional),0,3,7,3,1,23,7,Before sleep,4,2,0.264
1,12,2025-11-19 22:07:25,22:07:27,2.068,Night,10.943,11.986,2.104,0.315,12,12,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,236,0.512,0,0,0,0,-1,0,0.0,0,0,0,2.74,0,0.0,7.58,7.58,1,0.1356,0.133,0,1,1,85.0,0.301,0,0,BLUETOOTH,com.example.app,28.54,productivity,0,199.24,4,0,9,1104,1,1,0,0.604,72.73,0.074,-0.0434,1.46,0.0,0.8208,1,-0.0455,0,0,1.0019,401,119,1.8938,6,0,0.1001,0.9215,0.0,7.37,0.92,0,2,Quick break (intentional),0,3,7,3,1,23,7,Before sleep,4,2,0.364
1,13,2025-11-19 22:07:27,22:07:28,0.832,Night,9.836,12.816,2.006,0.454,13,11,1,0,0,0,0.57,-1.0,-1.0,-1.0,1.2026,1,0,1,525,0.626,1,0,0,0,-1,0,0.0,0,0,0,1.79,0,0.0,4.47,4.47,1,0.0703,0.1221,0,1,2,85.0,0.301,0,0,SPEAKER,com.example.app,79.29,other,1,199.24,4,0,10,1136,1,0,0,-1.947,4.55,-1.236,-0.0434,1.46,0.0769,0.8809,1,-0.0455,0,0,0.6882,436,190,2.2291,4,0,0.3696,0.9215,0.0,6.58,0.689,0,2,Quick break (intentional),0,3,7,3,1,23,7,Transit,4,2,0.347
1,14,2025-11-19 22:07:28,22:07:30,1.463,Night,9.798,9.922,1.967,0.46,14,14,0,0,0,1,-1.0,-1.0,-1.0,0.86,0.6834,1,0,1,427,0.408,1,1,1,0,-1,1,3.86,0,0,0,5.12,0,0.0,9.06,9.06,1,0.1045,0.1431,1,1,1,85.0,0.301,1,0,BLUETOOTH,com.example.app,13.44,other,1,199.24,4,0,3,795,1,0,0,-0.644,27.27,0.631,-0.0434,1.46,0.0714,0.8834,1,-0.0455,1,0,0.7677,250,198,1.9502,4,1,0.423,0.9215,0.0,5.92,0.707,0,2,Quick break (intentional),0,3,7,3,1,23,7,Transit,4,2,0.546
1,15,2025-11-19 22:07:30,22:07:31,0.887,Night,8.96,10.593,1.895,0.519,15,13,0,1,0,0,-1.0,0.48,-1.0,-1.0,1.1279,1,0,0,0,0.551,1,0,1,0,-1,0,0.0,1,0,0,6.5,0,0.0,10.36,10.36,1,0.1305,0.1287,0,1,1,85.0,0.301,0,0,BLUETOOTH,com.example.app,180.15,productivity,0,199.24,4,0,8,1390,1,0,0,-1.833,9.09,-0.576,-0.0434,1.46,0.0667,0.8279,1,-0.0455,0,0,1.2578,349,306,2.0505,3,0,0.3949,0.9215,0.0,5.56,0.484,0,2,Quick break (intentional),0,3,7,3,1,23,7,Work / Study,4,2,0.313
